RowNumber,Returns,Volatility,BTC,ETH,ETC,LTC,DASH,NEO,ZEC,XMR
57,1.3391256,0.398775598,0.109273932,0.219970995,0.150860927,0.003012953,0.229032937,0.095834801,0.00873043,0.183283025
58,1.224878322,0.403046087,0.062121642,0.322924986,0.158678472,0.028083195,0.132960071,0.051507591,0.169507177,0.074216867
59,1.333703471,0.396524622,0.050747533,0.018343645,0.187778887,0.205753422,0.13925929,0.119092821,0.038491937,0.240532466
60,1.293913781,0.381679499,0.14389896,0.274418423,0.027296755,0.070853199,0.156485213,0.116909953,0.200868278,0.009269219
61,1.232900557,0.33466625,0.14858022,0.19163289,0.102465363,0.010983141,0.029873676,0.25294607,0.168517265,0.095001376
62,1.178445524,0.36145252,0.033191182,0.081261714,0.099483814,0.048591638,0.145158963,0.179808174,0.233582566,0.178921948
63,1.3690487,0.376085193,0.114933213,0.160994397,0.161081113,0.075763632,0.096504568,0.162537928,0.022029836,0.206155313
64,1.301813411,0.364839303,0.085929933,0.172368888,0.056751905,0.130108908,0.131207718,0.211472543,0.182772043,0.029388061
65,1.193663711,0.404036275,0.115117146,0.199548794,0.02659806,0.062374647,0.236120305,0.005293184,0.278754673,0.07619319
66,1.254343533,0.346312381,0.131197862,0.182551021,0.23975415,0.04935515,0.008981057,0.231813095,0.121693748,0.034653917
67,1.298471646,0.408011914,0.15118834,0.17546308,0.003191393,0.180930786,0.138151082,0.006633052,0.190728323,0.153713945
68,1.424775221,0.39622752,0.107828758,0.047764853,0.135895801,0.180422304,0.245659949,0.137424114,0.018468194,0.126536026
69,1.318453147,0.380571188,0.300614134,0.109784151,0.279634986,0.075906056,0.000303427,0.00918104,0.085004746,0.13957146
70,1.265113603,0.380848824,0.160679182,0.027759303,0.145099776,0.162236892,0.038541207,0.055582703,0.176024666,0.234076271
71,1.368798748,0.368908721,0.138084509,0.203649894,0.175537513,0.084641372,0.092067003,0.185934906,0.074061968,0.046022836
72,1.215225888,0.37544364,0.030286199,0.24635879,0.255618905,0.008947233,0.032420585,0.155268993,0.087931962,0.183167334
73,1.269540906,0.376624944,0.123264549,0.029339966,0.181990334,0.168351463,0.030962264,0.096500113,0.158754205,0.210837106
74,1.35103216,0.397347402,0.059621511,0.150305471,0.109866168,0.212789467,0.176482713,0.136838016,0.119413021,0.034683632
75,1.289746632,0.375391025,0.026650245,0.044164858,0.201950439,0.10276904,0.194144538,0.185383186,0.121617545,0.123320149
76,1.361225012,0.366741433,0.148008963,0.070562602,0.166776882,0.087687372,0.158973824,0.165135919,0.124397938,0.0784565
77,1.224240607,0.392957377,0.020121693,0.194479744,0.213647323,0.221351242,0.030830967,0.117769895,0.197678331,0.004120805
78,1.443815815,0.379071057,0.201576751,0.139653957,0.170310881,0.134624312,0.130748109,0.135738302,0.059474068,0.02787362
79,1.347378268,0.385196189,0.186522896,0.176584233,0.062524246,0.060278502,0.18849348,0.082451022,0.145024342,0.098121278
80,1.249349272,0.375958063,0.022241696,0.135637651,0.187381369,0.099216956,0.062308395,0.158327245,0.130190822,0.204695865
81,1.342543508,0.393463263,0.23529872,0.19611339,0.101138336,0.079034342,0.067806186,0.013958092,0.090640525,0.216010409
82,1.173853266,0.392907558,0.131226641,0.116759847,0.026826815,0.061529267,0.159361506,0.008100786,0.252741874,0.243453263
83,1.215611038,0.397193512,0.017294513,0.029351713,0.198462943,0.201839526,0.108786486,0.070943532,0.203078024,0.170243263
84,1.46543788,0.365508021,0.213732644,0.114641732,0.105167592,0.062676913,0.225997925,0.202616295,0.009178898,0.065988001
85,1.290895809,0.347716609,0.146204673,0.086825729,0.011189467,0.141856116,0.023735185,0.22109841,0.142225708,0.226864711
86,1.177977162,0.365440399,0.006052608,0.00759878,0.153427622,0.045755576,0.208491836,0.181499803,0.21182849,0.185345285
87,1.320613898,0.385600731,0.090929324,0.089565642,0.098299159,0.145276007,0.144628298,0.116825344,0.138385604,0.176090621
88,1.328788656,0.399405198,0.013706147,0.159062803,0.056345473,0.204708128,0.144599907,0.143333865,0.075545494,0.202698183
89,1.344311876,0.377935935,0.17562069,0.088091449,0.070400508,0.11188032,0.191386633,0.106210313,0.187523128,0.068886958
90,1.139870676,0.379483342,0.063699847,0.090968262,0.154879425,0.049671423,0.081601971,0.060234502,0.258974288,0.239970282
91,1.375363192,0.372105674,0.16568588,0.127835635,0.224157166,0.0532278,0.143158341,0.147196512,0.07260026,0.066138405
92,1.196726426,0.36176397,0.039535805,0.161494998,0.117495702,0.075054023,0.032058529,0.178604999,0.204288767,0.191467178
